cluster,sessions,duration,total_data_volume
3,1.0,116720.0,878690574.0
2,1.0,181230.0,156859643.0
2,1.0,134969.0,595966483.0
0,1.0,49878.0,422320698.0
1,2.0,37104.0,1457410944.0
1,2.0,253983.0,615217221.0
1,2.0,128360.0,653141672.0
0,1.0,86399.0,332660357.0
1,2.0,322912.25,990132189.0
3,1.0,124854.0,732463761.0
2,1.0,245071.0,114976036.0
3,1.0,38416.0,630092434.0
0,1.0,97363.0,482419082.0
2,1.0,242317.0,358911900.0
2,1.0,169979.0,230324396.0
3,1.0,34544.0,541779966.0
3,1.0,91753.0,697559667.0
3,1.0,55730.0,637053075.0
3,1.0,74893.0,647203715.0
3,1.0,56313.0,775900974.0
1,2.0,226752.0,1122862615.0
0,1.0,135664.0,418991822.0
0,1.0,100371.0,159264496.0
0,1.0,98337.0,460886348.0
3,1.0,79098.0,599733815.0
3,1.0,82844.0,846693854.0
2,1.0,245071.0,272021271.0
0,1.0,31778.0,250441008.0
1,2.0,114309.0,1073050283.0
0,1.0,29046.0,175382988.0
1,2.0,138731.0,413792006.0
3,1.0,93304.0,786678318.0
1,2.0,322912.25,1449852718.0
1,2.0,205408.0,461634852.0
2,1.0,170907.0,597412570.0
3,1.0,10532.0,769716233.0
1,2.0,139774.0,1102608710.0
2,1.0,186444.0,720766230.0
3,1.0,12842.0,692598460.0
0,1.0,86399.0,115294379.0
0,1.0,32737.0,373706286.0
1,2.0,193473.0,1175215072.0
1,2.0,205741.0,1025204491.0
1,2.0,71777.0,877844226.0
2,1.0,231213.0,798276154.0
2,1.0,138402.0,617566567.0
0,1.0,86399.0,553411163.0
1,2.0,52765.0,1120386688.0
0,1.0,61840.0,101868586.0
2,1.0,205474.0,675056386.0
1,2.0,107959.0,1511483348.0
1,2.0,225793.0,1513372152.0
0,1.0,153394.0,162930783.0
0,1.0,91672.0,363047534.0
0,1.0,32643.0,319381145.0
3,1.0,56488.0,719744746.0
1,3.0,263117.0,1604235968.625
0,1.0,88729.0,376686401.0
3,1.0,81430.0,828026723.0
0,1.0,113542.0,586303363.0
0,1.0,12921.0,406230342.0
1,2.0,223569.0,1263455762.0
0,1.0,121819.0,504002250.0
2,1.0,154511.0,377569092.0
1,2.0,187516.0,1294594671.0
1,2.0,83016.0,790601498.0
3,1.0,75801.0,667178010.0
0,1.0,84102.0,209759849.0
0,1.0,86399.0,440278475.0
2,1.0,227160.0,719654870.0
2,1.0,177993.0,851777918.0
1,2.0,135147.0,762971339.0
0,1.0,86400.0,82067439.0
