cluster,total_avg_rtt,total_avg_tp,total_avg_tcp
0,46.0,76.0,729692.0
0,31.0,99.0,15743.0
2,50.0,97.0,4032874.25
0,84.0,248.0,5056.0
1,119.0,43204.5,8980965.875
0,74.0,7908.0,343816.5
1,53.0,42513.0,220464.0
0,52.0,1247.0,70162.0
2,100.0,189.0,7733351.875
0,62.0,146.0,159431.0
0,29.0,77.0,40862.0
2,123.0,19256.0,7720636.875
2,53.0,69.0,7612893.0
0,50.0,15.0,202967.25
2,50.0,98.0,7883135.125
0,41.0,890.0,41896.0
0,20.0,104.0,438958.0
1,55.0,37451.5,2325497.0
0,18.0,149.0,108259.0
1,108.0,8539.0,2006261.0
1,136.0,159.0,54282.0
0,61.0,100.0,2003484.0
0,50.0,128.0,79948.0
2,40.0,68.0,7883135.125
0,21.0,99.0,19248.0
2,36.0,109.0,6285624.0
2,31.0,102.0,7783525.875
0,56.0,12768.0,39844.0
1,177.0,52859.75,7835130.875
0,29.0,80.0,191443.0
2,96.0,24947.0,7750534.0
2,50.0,134.0,7883135.125
2,160.0,180.0,11173554.125
0,84.0,158.0,61373.0
0,50.0,97.0,91048.0
1,55.0,44961.5,1836731.0
2,116.0,126.0,8471335.875
0,39.0,132.0,31763.0
2,56.0,4636.0,3257969.0
1,33.0,52151.25,31013.0
0,32.0,2903.0,28959.0
2,117.0,102.0,3238493.25
2,100.0,194.0,11232117.25
1,76.0,46555.0,1156726.0
0,50.0,15.0,2535.0
0,42.0,593.0,387188.0
0,110.0,488.0,87554.0
1,91.0,52831.75,6066322.0
1,112.0,8970.0,153844.0
0,32.0,108.0,18359.0
1,107.0,51632.25,167443.0
2,56.0,233.0,5685305.0
0,29.0,144.0,1468.0
0,50.0,96.0,30830.0
0,69.0,76.0,147072.0
0,41.0,97.0,33422.0
1,185.0,40617.5,2366676.25
0,27.0,96.0,5316.0
1,43.0,51509.25,37480.0
2,24.0,92.0,4753414.25
1,72.0,45577.0,6213.0
1,113.0,52865.75,8097372.875
2,36.0,80.0,3814981.0
0,56.0,98.0,1731533.0
2,85.0,1707.0,8715848.125
1,91.0,39270.0,12411.0
0,50.0,104.0,455405.0
0,92.0,77.0,170104.0
1,75.0,52768.75,7883135.125
0,26.0,21.0,32717.0
0,50.0,74.0,78897.0
1,91.0,13902.0,1673733.0
1,95.0,47715.5,3139231.0
1,55.0,28432.5,51319.0
0,42.0,20579.0,38607.0
2,50.0,113.0,7883135.125
0,38.0,81.0,35739.0
1,75.0,22810.0,2007489.0
1,33.0,52447.25,315109.25
0,100.0,249.0,13826.0
0,46.0,75.0,371252.0
0,50.0,111.0,332461.0
0,50.0,15.0,27954.0
0,28.0,84.0,782006.0
0,40.0,108.0,144414.0
2,35.0,94.0,7749756.875
0,61.0,152.0,78983.0
1,149.0,25731.0,74470.0
0,107.0,165.0,172222.0
